Date,Price,Open,High,Low,Vol.,Change %
12/01/2017,19516.3,19592.8,19631.1,19439.7,1.65M,-0.58%
12/04/2017,19516.3,19669.3,20052.0,19516.3,1.27M,0.00%
12/05/2017,19057.0,19669.3,19669.3,19057.0,3.06M,-2.35%
12/06/2017,19018.8,18904.0,19057.0,18750.9,2.33M,-0.20%
12/07/2017,19133.6,19133.6,19248.4,18789.2,808.64K,0.60%
12/08/2017,19133.6,19171.8,19286.7,18865.7,1.07M,0.00%
12/11/2017,18368.2,18291.7,18980.5,18291.7,1.56M,-4.00%
12/12/2017,18444.8,18368.2,18674.4,17105.4,3.29M,0.42%
12/13/2017,18291.7,18444.8,18521.3,18100.4,2.54M,-0.83%
12/14/2017,18712.6,18215.2,18750.9,17794.2,1.85M,2.30%
12/15/2017,18597.8,18521.3,18712.6,18253.4,808.26K,-0.61%
12/18/2017,18636.1,18597.8,18750.9,18521.3,1.29M,0.21%
12/19/2017,18444.8,18636.1,18904.0,18444.8,1.18M,-1.03%
12/20/2017,18750.9,18444.8,18904.0,18406.5,1.10M,1.66%
12/21/2017,18521.3,18750.9,18980.5,18521.3,1.65M,-1.22%
12/22/2017,18253.4,18291.7,18521.3,17985.6,2.43M,-1.45%
12/25/2017,18215.2,18521.3,18597.8,18138.6,720.01K,-0.21%
12/26/2017,18444.8,18215.2,18444.8,17985.6,1.27M,1.26%
12/27/2017,18674.4,18559.6,18865.7,18406.5,1.51M,1.24%
12/28/2017,18942.2,18674.4,19210.1,18674.4,1.74M,1.43%
12/29/2017,19516.3,19171.8,19516.3,18942.2,3.26M,3.03%
01/02/2018,20664.3,19516.3,20664.3,19286.7,3.65M,5.88%
01/03/2018,20511.2,20664.3,20702.5,20281.6,3.09M,-0.74%
01/04/2018,21085.2,20511.2,21200.0,20319.9,5.56M,2.80%
01/05/2018,20970.4,21046.9,21085.2,20626.0,2.40M,-0.54%
01/08/2018,21314.8,21200.0,21582.7,20970.4,2.58M,1.64%
01/09/2018,20970.4,21314.8,21391.3,19898.9,5.30M,-1.62%
01/10/2018,21008.7,20970.4,21620.9,20893.9,3.54M,0.18%
01/11/2018,21123.5,21046.9,21238.3,20779.1,1.97M,0.55%
01/12/2018,20855.6,20817.3,21085.2,20740.8,3.13M,-1.27%
01/15/2018,20893.9,20702.5,21200.0,20472.9,2.25M,0.18%
01/16/2018,21200.0,20932.1,21353.1,20855.6,2.98M,1.47%
01/17/2018,20664.3,21200.0,21506.1,20664.3,3.58M,-2.53%
01/18/2018,20740.8,20358.1,20740.8,20128.5,2.31M,0.37%
01/19/2018,20587.7,20817.3,20893.9,20358.1,4.47M,-0.74%
01/22/2018,21774.0,20587.7,21888.8,20549.5,6.34M,5.76%
01/25/2018,23266.4,22271.5,23266.4,22041.9,10.04M,6.85%
01/26/2018,24873.7,24873.7,24873.7,24108.3,7.14M,6.91%
01/29/2018,26480.9,25256.3,26595.7,25256.3,5.53M,6.46%
01/30/2018,27552.4,25141.5,27552.4,25141.5,4.13M,4.05%
01/31/2018,26174.7,28470.8,28509.0,26174.7,2.21M,-5.00%
02/01/2018,25792.1,26404.3,26442.6,25179.8,2.38M,-1.46%
02/02/2018,25792.1,25485.9,26251.3,25332.9,2.23M,0.00%
02/05/2018,23993.5,25409.4,25562.5,23993.5,3.51M,-6.97%
02/06/2018,22348.0,22348.0,23572.6,22348.0,4.17M,-6.86%
02/07/2018,23878.7,23878.7,23878.7,22960.3,2.59M,6.85%
02/08/2018,24644.1,23878.7,25103.3,23878.7,2.57M,3.21%
02/09/2018,24720.6,22960.3,25256.3,22922.0,2.26M,0.31%
02/12/2018,26442.6,25256.3,26442.6,24873.7,2.97M,6.97%
02/13/2018,27093.2,27858.5,27935.0,26787.0,3.09M,2.46%
02/21/2018,28623.8,27552.4,28968.2,27246.2,2.69M,5.65%
02/22/2018,28164.6,28317.7,29542.2,28126.4,3.59M,-1.60%
02/23/2018,28394.2,28317.7,28700.4,27475.8,4.56M,0.82%
02/26/2018,29159.6,29006.5,29657.1,28623.8,4.42M,2.70%
02/27/2018,29197.8,29159.6,29695.3,28776.9,2.79M,0.13%
02/28/2018,29848.4,29006.5,30231.1,28815.2,5.69M,2.23%
03/01/2018,28930.0,29542.2,30307.6,28700.4,3.31M,-3.08%
03/02/2018,28930.0,28317.7,29083.0,28241.2,2.99M,0.00%
03/05/2018,26940.1,29274.4,29389.2,26940.1,3.26M,-6.88%
03/06/2018,28815.2,27552.4,28815.2,27131.4,3.18M,6.96%
03/07/2018,28700.4,29083.0,29159.6,28241.2,2.58M,-0.40%
03/08/2018,28470.8,28700.4,29083.0,28317.7,1.42M,-0.80%
03/09/2018,28509.0,28700.4,29083.0,28317.7,2.85M,0.13%
03/12/2018,29542.2,29618.8,29848.4,29083.0,2.53M,3.62%
03/13/2018,30001.5,29542.2,30001.5,29083.0,2.49M,1.55%
03/14/2018,29848.4,30460.7,30460.7,29771.9,2.51M,-0.51%
03/15/2018,31914.8,29848.4,31914.8,29618.8,4.44M,6.92%
03/16/2018,32756.7,32374.0,33292.4,31991.3,3.31M,2.64%
03/19/2018,31914.8,32909.8,32986.3,31532.1,2.98M,-2.57%
03/20/2018,32527.1,31532.1,32986.3,31379.1,2.35M,1.92%
03/21/2018,33292.4,33292.4,33522.0,32603.6,2.02M,2.35%
03/22/2018,33904.7,33292.4,34057.8,33101.1,3.18M,1.84%
03/23/2018,32412.3,33292.4,33369.0,31685.2,4.61M,-4.40%
03/26/2018,34363.9,32144.4,34363.9,32144.4,2.43M,6.02%
03/27/2018,33751.6,35205.8,35665.0,33751.6,3.70M,-1.78%
03/28/2018,34096.0,33675.1,34249.1,33215.9,2.10M,1.02%
03/29/2018,33675.1,34096.0,34210.8,33522.0,1.13M,-1.23%
03/30/2018,33215.9,33522.0,33636.8,32641.9,2.78M,-1.36%
04/02/2018,34440.4,33522.0,34440.4,32871.5,3.28M,3.69%
04/03/2018,34517.0,34670.0,35052.7,34210.8,1.69M,0.22%
04/04/2018,34287.4,34517.0,34784.9,34287.4,1.90M,-0.67%
04/05/2018,33675.1,34287.4,34287.4,33483.8,2.19M,-1.79%
04/06/2018,33675.1,33828.2,34210.8,33522.0,1.85M,0.00%
04/09/2018,33981.2,33904.7,34440.4,33215.9,3.43M,0.91%
04/10/2018,34823.1,34363.9,35511.9,34287.4,5.26M,2.48%
04/11/2018,34057.8,35818.1,35818.1,33675.1,3.00M,-2.20%
04/12/2018,33981.2,33904.7,34440.4,33369.0,2.28M,-0.22%
04/13/2018,32144.4,34057.8,34287.4,31914.8,4.24M,-5.41%
04/16/2018,30613.7,31379.1,32144.4,30613.7,2.78M,-4.76%
04/17/2018,32067.9,30613.7,32067.9,30384.1,3.16M,4.75%
04/18/2018,30766.8,32680.2,32680.2,30766.8,1.50M,-4.06%
04/19/2018,29083.0,30766.8,30919.9,28930.0,3.46M,-5.47%
04/20/2018,30192.8,29465.7,30269.3,28317.7,3.04M,3.82%
04/23/2018,28088.1,30460.7,31111.2,28088.1,4.04M,-6.97%
04/24/2018,29083.0,28317.7,29465.7,27475.8,3.15M,3.54%
04/26/2018,27935.0,28930.0,29465.7,27169.7,2.78M,-3.95%
04/27/2018,27628.9,27858.5,29159.6,27552.4,2.55M,-1.10%
05/02/2018,25715.5,28088.1,28241.2,25715.5,2.35M,-6.93%
05/03/2018,25792.1,24644.1,26710.5,23917.0,5.24M,0.30%
